time,seconds_elapsed,activity,local_time
1775952696205999900,0.076999755859375,unknown,2026-04-11T19:11:36.205-05:00
1775952702901999900,6.772999755859375,unknown,2026-04-11T19:11:42.901-05:00
1775952707740000000,11.611,unknown,2026-04-11T19:11:47.740-05:00
1775952712234000100,16.105000244140626,unknown,2026-04-11T19:11:52.234-05:00
1775952712889000000,16.76,stationary,2026-04-11T19:11:52.889-05:00
1775952713521000000,17.392,unknown,2026-04-11T19:11:53.521-05:00
1775952715457000000,19.328,unknown,2026-04-11T19:11:55.457-05:00
1775952718349999900,22.220999755859374,stationary,2026-04-11T19:11:58.349-05:00
1775952719635000000,23.506,unknown,2026-04-11T19:11:59.635-05:00
1775952721245999900,25.116999755859375,stationary,2026-04-11T19:12:01.245-05:00
1775952721567000000,25.438,unknown,2026-04-11T19:12:01.567-05:00
1775952725107000000,28.978,stationary,2026-04-11T19:12:05.107-05:00
1775952726073000000,29.944,unknown,2026-04-11T19:12:06.073-05:00
1775952726395000000,30.266,stationary,2026-04-11T19:12:06.395-05:00
1775952727682000100,31.553000244140627,unknown,2026-04-11T19:12:07.682-05:00
1775952729935000000,33.806,stationary,2026-04-11T19:12:09.935-05:00
1775952730256000000,34.127,unknown,2026-04-11T19:12:10.256-05:00
1775952738946000100,42.81700024414062,unknown,2026-04-11T19:12:18.946-05:00
1775952742808000000,46.679,stationary,2026-04-11T19:12:22.808-05:00
