time,seconds_elapsed,steps,local_time
1775952934282471700,-0.7935283203125,3,2026-04-11T19:15:34.282-05:00
1775952936856970800,1.780970703125,3,2026-04-11T19:15:36.856-05:00
1775952939431470000,4.355469970703125,5,2026-04-11T19:15:39.431-05:00
1775952942005971200,6.92997119140625,5,2026-04-11T19:15:42.005-05:00
1775952944580470000,9.504469970703125,9,2026-04-11T19:15:44.580-05:00
1775952947154967600,12.078967529296875,16,2026-04-11T19:15:47.154-05:00
1775952949729465000,14.653465087890625,19,2026-04-11T19:15:49.729-05:00
1775952952303959800,17.227959716796875,22,2026-04-11T19:15:52.303-05:00
1775952954878453000,19.802452880859374,26,2026-04-11T19:15:54.878-05:00
1775952957452944400,22.3769443359375,30,2026-04-11T19:15:57.452-05:00
1775952960027434200,24.951434326171874,30,2026-04-11T19:16:00.027-05:00
1775952962601920300,27.525920166015624,38,2026-04-11T19:16:02.601-05:00
1775952965176403700,30.10040380859375,42,2026-04-11T19:16:05.176-05:00
1775952967750885400,32.674885498046876,47,2026-04-11T19:16:07.750-05:00
1775952970325361700,35.24936157226563,47,2026-04-11T19:16:10.325-05:00
1775952972899836000,37.8238359375,51,2026-04-11T19:16:12.899-05:00
1775952975474307600,40.3983076171875,51,2026-04-11T19:16:15.474-05:00
1775952978048779000,42.972779052734374,51,2026-04-11T19:16:18.048-05:00
1775952980623248400,45.54724829101563,54,2026-04-11T19:16:20.623-05:00
1775952983197715500,48.12171557617187,59,2026-04-11T19:16:23.197-05:00
1775952985772179000,50.696178955078125,60,2026-04-11T19:16:25.772-05:00
1775952988346639000,53.27063916015625,61,2026-04-11T19:16:28.346-05:00
1775952990921092900,55.8450927734375,66,2026-04-11T19:16:30.921-05:00
1775952993495543800,58.419543701171875,71,2026-04-11T19:16:33.495-05:00
1775952996069990100,60.993990234375,75,2026-04-11T19:16:36.069-05:00
1775952998644433400,63.56843334960938,77,2026-04-11T19:16:38.644-05:00
1775953001218875400,66.14287548828125,81,2026-04-11T19:16:41.218-05:00
1775953003793315600,68.71731567382812,81,2026-04-11T19:16:43.793-05:00
