time,seconds_elapsed,steps
1773148844311062800,7.684062744140625,3
1773148846880503300,10.25350341796875,3
1773148849449946400,12.8229462890625,3
1773148852019378400,15.39237841796875,3
1773148854588814300,17.961814453125,3
1773148857158255000,20.531255126953123,3
1773148859727688700,23.100688720703126,3
1773148862297132500,25.670132568359374,3
1773148864866572300,28.239572265625,3
1773148867436013300,30.809013427734374,3
1773148870005456100,33.3784560546875,3
1773148872574908700,35.94790869140625,3
1773148875144362200,38.5173623046875,3
1773148877713824300,41.08682421875,3
1773148880283285200,43.65628515625,3
1773148882852744200,46.225744140625,3
1773148885422234000,48.79523413085938,3
